Waiting for operation to complete...
Transcript: let's go for shopping i do not have the mood to go like you cannot be depressed even the positive person get depressed it is quite natural why are you depressed
Confidence: 0.9212436676025391
Word: let's, start_time: 0.2, end_time: 0.9
Word: can, start_time: 39.8, end_time: 40.0
Word: be, start_time: 40.0, end_time: 40.1
Word: the, start_time: 40.1, end_time: 40.2
Word: reason, start_time: 40.2, end_time: 40.6
Word: i, start_time: 40.6, end_time: 41.4
Word: think, start_time: 41.4, end_time: 41.8
Word: i, start_time: 41.8, end_time: 41.8
Word: should, start_time: 41.8, end_time: 41.9
Word: have, start_time: 41.9, end_time: 42.2
Word: been, start_time: 42.2, end_time: 42.4
Word: more, start_time: 42.4, end_time: 42.5
Word: determined, start_time: 42.5, end_time: 42.8
Word: i, start_time: 42.8, end_time: 43.6
Word: took, start_time: 43.6, end_time: 43.9
Word: my, start_time: 43.9, end_time: 44.1
Word: golightly, start_time: 44.1, end_time: 44.9
Word: i, start_time: 44.9, end_time: 45.1
Word: underestimated, start_time: 45.1, end_time: 46.3
Word: my, start_time: 46.3, end_time: 46.5
Word: competitors, start_time: 46.5, end_time: 47.2
Word: i, start_time: 47.2, end_time: 47.7
Word: did, start_time: 47.7, end_time: 47.9
Word: a, start_time: 47.9, end_time: 48.0
Word: mistake, start_time: 48.0, end_time: 48.1
Word: here, start_time: 48.1, end_time: 48.7
Word: consequently, start_time: 48.7, end_time: 49.3
Word: i, start_time: 49.3, end_time: 49.4
Word: had, start_time: 49.4, end_time: 49.7
Word: to, start_time: 49.7, end_time: 49.8
Word: see, start_time: 49.8, end_time: 50.0
Word: the, start_time: 50.0, end_time: 50.2
Word: face, start_time: 50.2, end_time: 50.4
Word: of, start_time: 50.4, end_time: 50.6
Word: the, start_time: 50.6, end_time: 50.8
Word: feet, start_time: 50.8, end_time: 51.1
Word: so, start_time: 51.1, end_time: 51.7
Word: what, start_time: 51.7, end_time: 52.0
Word: is, start_time: 52.0, end_time: 52.1
Word: your, start_time: 52.1, end_time: 52.3
Word: future, start_time: 52.3, end_time: 52.8
Word: plan, start_time: 52.8, end_time: 53.3
Word: i, start_time: 53.3, end_time: 54.1
Word: would, start_time: 54.1, end_time: 54.4
Word: learn, start_time: 54.4, end_time: 54.5
Word: from, start_time: 54.5, end_time: 54.9
Word: a, start_time: 54.9, end_time: 55.0
Word: mistake, start_time: 55.0, end_time: 55.6
Word: and, start_time: 55.6, end_time: 55.6
Word: i, start_time: 55.6, end_time: 55.8
Word: hope, start_time: 55.8, end_time: 56.1
Word: i, start_time: 56.1, end_time: 56.3
Word: would, start_time: 56.3, end_time: 56.5
Word: hate, start_time: 56.5, end_time: 56.7
Word: my, start_time: 56.7, end_time: 56.8
Word: next, start_time: 56.8, end_time: 57.2
Word: target, start_time: 57.2, end_time: 57.3
Word: now, start_time: 57.3, end_time: 58.4
Word: you, start_time: 58.4, end_time: 58.6
Word: seem, start_time: 58.6, end_time: 58.8
Word: to, start_time: 58.8, end_time: 58.9
Word: be, start_time: 58.9, end_time: 59.0
Word: in, start_time: 59.0, end_time: 59.1
Word: positive, start_time: 59.1, end_time: 59.5
Word: mood, start_time: 59.5, end_time: 59.8
Word: again, start_time: 59.8, end_time: 60.1
Word: would, start_time: 60.1, end_time: 60.6
Word: you, start_time: 60.6, end_time: 60.7
Word: like, start_time: 60.7, end_time: 60.9
Word: to, start_time: 60.9, end_time: 61.0
Word: go, start_time: 61.0, end_time: 61.2
Word: for, start_time: 61.2, end_time: 61.4
Word: shopping, start_time: 61.4, end_time: 61.4
Word: now, start_time: 61.4, end_time: 61.9
